Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2009,107,126,43,11,43
2010,86,146,54,46,12
2011,86,102,75,34,44
2012,99,120,67,42,20
2013,93,119,51,49,35
2014,80,107,23,18,44
2015,91,148,75,64,29
2016,93,148,23,18,30
2017,105,117,29,12,26
2018,95,113,65,64,48
2019,95,142,52,63,45
2020,92,120,62,10,44
2021,103,119,44,65,38
2022,107,157,33,24,32
2023,92,138,41,15,41
2024,104,110,29,33,13
2000,96,130,56,51,42
2001,103,136,35,57,39
2002,100,147,38,23,15
2003,96,148,57,39,43
2004,92,131,23,10,9
2005,95,156,39,52,46
2006,94,156,42,14,22
2007,82,125,65,16,26
2008,96,144,41,58,30
2009,94,158,27,36,31
2010,100,118,43,48,36
2011,101,120,48,47,21
2012,98,129,38,45,22
2013,104,124,46,64,21
2014,97,155,54,67,19
2015,94,110,52,13,9
2016,98,106,59,14,11
2017,94,122,25,68,49
2018,99,155,58,25,20
2019,104,136,48,56,26
2020,101,124,50,17,11
2021,95,107,41,19,29
2022,86,131,40,26,34
2023,86,127,64,51,16
2024,97,117,33,11,45
2000,94,111,57,20,9
2001,99,100,54,60,5
2002,92,124,53,63,38
2003,99,121,75,45,24
2004,97,128,58,22,9
2005,97,141,26,47,18
2006,93,116,41,59,5
2007,87,107,79,10,48
2008,99,156,74,22,46
2009,86,147,68,20,32
2010,92,119,79,37,18
2011,80,132,73,52,18
2012,90,115,25,29,37
2013,95,155,64,37,13
2014,92,148,39,48,29
2015,103,128,77,36,11
2016,87,148,70,16,46
2017,92,148,54,57,26
2018,99,135,60,66,43
2019,109,111,37,21,27
2020,86,127,58,12,18
2021,89,146,78,34,6
2022,103,136,55,16,44
2023,81,128,20,58,37
2024,94,110,48,13,47
2000,107,108,41,36,22
2001,90,133,30,47,28
2002,93,155,33,49,18
2003,105,143,68,13,32
2004,107,100,48,42,44
2005,101,131,20,15,45
2006,105,132,45,14,17
2007,87,148,36,62,42
2008,100,116,54,10,13
2009,88,115,45,53,13
2010,99,123,62,28,17
2011,91,104,27,28,20
2012,86,121,42,67,48
2013,86,113,71,52,25
2014,92,156,50,52,17
2015,88,132,46,69,25
2016,101,117,46,50,49
2017,92,104,75,18,18
2018,93,122,48,36,20
2019,83,121,23,40,6
2020,101,133,37,49,41
2021,81,102,68,44,45
2022,104,122,23,51,13
2023,101,139,61,35,40
2024,98,101,37,62,34
2000,108,113,49,38,43
2001,83,149,65,60,16
2002,100,157,61,25,40
2003,102,144,63,33,23
2004,107,145,28,24,25
2005,102,126,32,28,19
2006,96,122,75,35,6
2007,101,119,53,44,43
2008,100,158,63,26,24
2009,105,151,79,45,34
2010,92,147,60,15,8
2011,84,147,44,39,23
2012,98,119,46,37,38
2013,83,134,52,23,18
2014,93,137,74,68,44
2015,108,131,25,37,25
2016,107,129,41,50,14
2017,91,102,26,32,32
2018,108,154,67,57,33
2019,81,124,62,20,49
2020,85,154,30,55,15
2021,102,143,42,37,31
2022,87,146,40,50,8
2023,80,122,54,64,36
2024,100,123,23,41,26
2000,80,126,54,37,34
2001,107,120,70,68,30
2002,94,130,35,69,6
2003,106,157,43,29,43
2004,92,136,66,24,6
2005,92,156,58,50,19
2006,105,141,50,50,38
2007,100,145,76,58,42
2008,83,139,53,51,6
2009,82,154,67,47,38
2010,88,116,67,15,35
2011,81,153,37,36,24
2012,98,150,31,44,48
2013,98,131,22,63,44
2014,103,102,67,31,23
2015,103,148,22,59,16
2016,94,130,70,44,27
2017,90,148,63,14,30
2018,100,124,72,65,48
2019,95,136,38,52,13
2020,103,125,30,21,27
2021,93,140,71,66,6
2022,105,156,45,53,12
2023,101,121,58,67,14
2024,108,134,72,21,18
2000,84,113,69,45,25
2001,100,146,70,29,7
2002,86,156,67,41,26
2003,106,138,25,33,20
2004,96,114,42,57,9
2005,101,125,32,44,44
2006,103,103,62,44,23
2007,83,107,50,61,42
2008,108,159,63,36,49
2009,109,134,48,14,45
2010,98,121,21,42,7
2011,98,159,24,49,5
2012,85,116,21,50,19
2013,106,128,34,50,5
2014,83,100,62,63,30
2015,108,121,73,35,37
2016,96,135,63,59,20
2017,81,150,35,39,21
2018,83,106,76,19,27
2019,92,122,48,20,14
2020,104,135,58,34,8
2021,109,120,77,45,26
2022,99,135,22,32,48
2023,84,116,28,57,46
2024,83,140,64,69,35
2000,107,128,50,44,23
2001,107,108,50,51,28
2002,84,122,22,15,33
2003,102,137,69,33,23
2004,88,111,36,59,13
2005,82,146,41,61,31
2006,92,114,52,63,39
2007,91,103,79,54,28
2008,82,157,59,45,37
2009,83,106,31,42,36
2010,98,143,76,66,28
2011,86,106,78,52,30
2012,82,132,76,59,32
2013,98,107,25,65,33
2014,82,147,42,21,20
2015,101,107,46,67,40
2016,103,136,26,19,28
2017,81,155,30,63,8
2018,84,100,66,22,22
2019,94,138,72,62,20
2020,109,138,62,30,30
2021,85,126,41,41,43
2022,96,143,29,43,38
2023,92,114,55,62,26
2024,103,127,49,41,24
2000,105,110,41,34,34
2001,93,104,39,29,48
2002,103,126,22,47,21
2003,109,119,57,31,6
2004,107,108,54,64,36
2005,102,120,39,48,23
2006,106,154,65,35,13
2007,102,159,40,20,13
2008,103,113,56,31,9
2009,107,159,26,42,11
2010,81,131,22,64,35
2011,81,124,22,38,45
2012,91,134,54,56,14
2013,86,150,25,34,23
2014,92,117,27,53,43
2015,106,155,74,61,20
2016,88,124,71,20,13
2017,108,124,66,56,19
2018,80,110,76,27,41
2019,94,144,51,23,9
2020,97,101,64,61,9
2021,83,106,33,17,34
2022,109,126,56,31,33
2023,99,108,54,43,30
2024,89,101,43,57,38
2000,83,149,26,13,25
2001,107,126,23,66,36
2002,103,123,51,14,31
2003,87,127,73,55,6
2004,93,102,79,42,35
2005,106,143,61,54,25
2006,101,107,64,40,16
2007,108,121,47,26,41
2008,84,142,30,59,29
2009,94,151,32,10,40
2010,108,124,43,33,7
2011,97,106,69,56,22
2012,85,109,35,11,15
2013,90,125,55,42,13
2014,93,101,54,50,43
2015,83,101,53,31,26
2016,109,126,68,27,36
2017,101,120,69,59,38
2018,81,154,41,25,39
2019,84,153,40,37,14
2020,90,138,71,42,30
2021,88,153,40,30,35
2022,86,102,63,25,10
2023,109,126,58,22,21
2024,91,130,50,49,37
2000,106,135,32,31,32
2001,96,121,56,47,10
2002,81,109,79,60,7
2003,81,151,45,64,33
2004,97,102,66,66,44
2005,100,156,51,16,41
2006,85,120,77,13,49
2007,84,148,43,38,48
2008,95,144,62,25,43
2009,84,116,76,17,21
2010,96,151,46,15,8
2011,107,147,45,22,29
2012,96,151,69,13,45
2013,88,152,41,28,6
2014,103,156,44,68,13
2015,104,145,20,43,49
2016,85,135,48,49,43
2017,99,131,46,67,28
2018,92,142,47,20,41
2019,103,159,63,67,14
2020,88,123,38,67,48
2021,83,138,57,51,15
2022,95,137,20,27,42
2023,104,140,74,37,7
2024,91,105,37,19,5
2000,97,135,23,27,23
2001,85,135,42,60,37
2002,82,129,59,57,40
2003,93,102,38,60,43
2004,95,159,72,39,34
2005,104,151,38,21,37
2006,89,114,66,38,24
2007,95,109,63,27,31
2008,108,155,63,66,16
2009,103,129,22,45,43
2010,103,141,76,50,16
2011,97,145,74,31,23
2012,93,147,23,33,27
2013,103,155,46,47,40
2014,90,128,74,16,40
2015,100,101,38,20,13
2016,86,138,25,52,19
2017,85,143,42,41,13
2018,82,105,69,66,32
2019,105,129,40,58,8
2020,101,122,79,22,9
2021,106,151,68,63,9
2022,98,100,53,39,47
2023,105,152,52,56,14
2024,89,115,53,32,35
2000,86,113,64,52,21
2001,80,131,69,56,20
2002,96,105,62,25,43
2003,84,132,49,52,7
2004,103,143,56,53,41
2005,106,132,43,11,28
2006,83,158,69,16,41
2007,107,113,51,46,42
2008,91,122,65,26,6
2009,87,150,41,57,49
2010,88,150,42,10,10
2011,101,107,61,26,27
2012,100,146,47,49,44
2013,105,120,25,35,24
2014,94,103,57,27,49
2015,96,141,47,60,41
2016,82,150,75,24,29
2017,83,140,28,29,17
2018,100,130,67,63,7
2019,88,101,46,51,22
2020,97,125,36,40,27
2021,100,141,53,58,42
2022,82,150,57,29,33
2023,97,158,29,53,13
2024,105,155,44,53,16
2000,84,137,39,12,44
2001,93,139,28,69,24
2002,103,102,63,41,15
2003,106,128,28,17,11
2004,99,100,21,42,36
2005,97,127,23,16,14
2006,91,123,56,27,20
2007,81,149,22,62,14
2008,99,152,52,54,45
2009,97,131,37,30,46
2010,87,154,43,13,40
2011,90,152,29,63,13
2012,93,130,63,15,38
2013,81,156,27,12,9
2014,104,156,74,45,37
2015,101,153,57,12,48
2016,108,159,47,55,5
2017,93,100,31,28,7
2018,99,156,76,62,41
2019,100,134,23,66,48
2020,84,154,38,16,29
2021,88,110,31,41,8
2022,84,105,36,66,30
2023,107,158,72,48,30
2024,87,109,70,21,8
2000,89,132,26,54,14
2001,88,109,50,46,45
2002,103,149,25,69,36
2003,88,130,78,27,34
2004,94,114,62,56,22
2005,86,159,56,68,35
2006,96,110,26,40,27
2007,85,102,23,22,14
2008,90,157,34,37,38
2009,95,127,69,36,11
2010,83,142,21,57,41
2011,95,127,39,50,14
2012,100,134,51,66,11
2013,81,156,58,38,22
2014,89,123,69,35,43
2015,104,127,67,10,16
2016,96,159,43,66,16
2017,93,155,44,62,23
2018,107,144,59,32,14
2019,105,158,67,17,17
2020,96,154,44,51,37
2021,96,119,43,28,34
2022,95,159,66,60,39
2023,107,115,47,35,38
2024,105,115,69,45,21
2000,92,137,23,64,43
2001,86,146,51,65,8
2002,87,102,47,34,28
2003,86,130,22,27,45
2004,85,113,61,59,34
2005,107,108,29,61,43
2006,80,130,46,24,27
2007,109,121,57,27,22
2008,88,121,37,22,48
2009,107,104,46,26,21
2010,96,110,43,59,24
2011,84,125,78,67,7
2012,107,110,77,61,35
2013,88,103,64,16,24
2014,83,120,29,56,31
2015,93,141,40,56,22
2016,108,155,56,51,13
2017,96,145,72,14,29
2018,101,137,36,22,7
2019,85,153,48,53,49
2020,85,118,46,11,48
2021,84,107,51,41,14
2022,99,140,74,29,33
2023,101,119,32,43,29
2024,91,158,27,49,43
2000,105,146,20,26,11
2001,85,103,24,25,33
2002,96,127,50,21,29
2003,93,121,24,21,14
2004,89,104,40,17,43
2005,96,112,65,68,29
2006,106,110,55,69,36
2007,103,146,30,29,40
2008,80,122,37,10,10
2009,86,135,78,45,24
2010,89,120,43,51,34
2011,86,144,76,23,16
2012,89,149,58,26,24
2013,86,138,41,48,30
2014,94,141,72,33,21
2015,82,158,48,57,26
2016,87,120,74,21,45
2017,107,132,41,36,25
2018,107,149,38,12,8
2019,85,105,65,12,26
2020,95,147,76,56,12
2021,94,151,62,40,40
2022,109,146,75,59,19
2023,90,100,58,65,20
2024,93,119,79,33,22
2000,105,156,76,21,29
2001,99,147,30,17,18
2002,95,137,74,50,12
2003,101,116,49,49,32
2004,109,137,36,33,19
2005,97,128,56,40,23
2006,99,112,24,62,30
2007,93,109,61,11,19
2008,88,129,75,27,18
2009,81,113,79,28,10
2010,95,118,56,64,41
2011,83,116,62,14,40
2012,97,143,28,36,30
2013,107,125,69,36,29
2014,92,150,23,49,48
2015,89,148,46,60,18
2016,85,126,54,60,25
2017,84,141,45,68,21
2018,109,144,64,19,15
2019,97,105,28,51,17
2020,109,146,25,37,26
2021,109,140,27,62,45
2022,85,159,29,53,39
2023,93,150,48,22,27
2024,98,149,66,16,10
2000,98,132,20,54,28
2001,103,138,34,40,42
2002,98,105,73,24,28
2003,87,137,28,57,13
2004,107,128,66,39,29
2005,81,115,27,45,38
2006,99,146,63,12,23
2007,108,130,23,22,49
2008,94,145,56,43,40
2009,92,125,26,29,25
2010,83,155,52,53,14
2011,101,147,64,26,14
2012,105,157,64,35,21
2013,100,130,73,52,20
2014,108,107,36,11,13
2015,86,159,30,28,11
2016,85,134,68,65,9
2017,105,136,44,14,37
2018,96,117,59,37,20
2019,81,144,38,45,5
2020,92,119,47,66,29
2021,93,140,71,16,31
2022,98,113,78,54,36
2023,108,131,35,69,28
2024,106,142,21,18,22
2000,89,156,70,55,34
2001,102,132,73,19,29
2002,104,136,75,45,48
2003,90,152,29,32,30
2004,99,109,62,28,47
2005,89,159,45,31,46
2006,94,120,49,18,36
2007,81,119,45,52,26
2008,81,149,25,52,17
2009,108,111,45,53,23
2010,99,100,42,14,29
2011,96,149,22,44,24
2012,102,143,76,63,49
2013,106,122,54,24,25
2014,81,116,24,10,24
2015,96,107,42,42,46
2016,80,116,39,50,5
2017,81,147,40,25,37
2018,109,136,20,11,21
2019,96,119,21,19,12
2020,100,152,29,18,15
2021,94,151,41,48,21
2022,94,121,59,62,17
2023,109,131,24,55,32
2024,86,145,70,46,36
2000,101,148,66,27,9
2001,84,158,24,68,18
2002,104,129,40,34,9
2003,92,143,50,39,43
2004,103,145,59,20,19
2005,94,154,29,51,45
2006,98,118,39,15,42
2007,96,100,38,10,10
2008,100,105,30,22,33
2009,106,147,26,66,36
2010,84,101,22,22,27
2011,105,144,65,32,40
2012,80,153,35,13,41
2013,91,126,63,39,35
2014,92,138,59,43,18
2015,89,109,71,62,37
2016,97,111,66,38,45
2017,96,102,47,35,26
2018,92,107,65,63,32
2019,89,120,68,54,15
2020,93,115,30,13,37
2021,80,140,29,30,24
2022,106,129,47,43,22
2023,82,119,67,54,38
2024,93,117,21,30,27
2000,87,125,21,10,27
2001,84,113,30,10,30
2002,81,141,68,22,33
2003,88,116,31,17,27
2004,82,115,33,52,10
2005,85,129,62,29,6
2006,97,109,25,28,33
2007,87,130,35,11,17
2008,96,103,61,22,5
2009,99,157,22,61,24
2010,101,111,25,33,13
2011,107,128,36,23,37
2012,98,117,53,12,29
2013,84,135,38,17,41
2014,95,107,68,10,14
2015,100,155,53,68,45
2016,107,111,64,23,13
2017,85,150,52,39,23
2018,99,125,36,16,29
2019,101,128,57,32,5
2020,100,144,41,32,47
2021,84,149,50,61,25
2022,108,120,77,65,43
2023,106,128,40,10,36
2024,102,156,78,23,29
2000,109,156,32,36,41
2001,96,145,49,67,49
2002,100,144,31,39,45
2003,81,140,60,26,15
2004,85,136,70,59,35
2005,105,159,27,26,30
2006,87,110,33,31,19
2007,86,135,41,60,39
2008,82,112,63,33,21
2009,83,155,36,49,26
2010,93,158,35,45,17
2011,102,116,40,11,48
2012,90,116,72,43,38
2013,90,155,49,44,41
2014,106,156,51,35,30
2015,97,122,65,62,20
2016,80,152,41,39,22
2017,99,156,75,59,22
2018,99,132,56,15,23
2019,90,146,21,37,7
2020,108,140,66,33,30
2021,96,112,63,16,16
2022,82,139,48,21,35
2023,94,142,66,45,27
2024,101,147,44,17,14
2000,106,123,48,23,21
2001,101,124,59,41,38
2002,109,113,41,62,42
2003,89,137,75,18,7
2004,93,146,25,12,28
2005,80,127,71,63,5
2006,90,133,57,37,7
2007,87,122,31,39,25
2008,83,137,44,53,15
2009,86,120,65,32,45
2010,90,144,51,27,22
2011,98,135,28,18,11
2012,81,131,73,42,15
2013,103,110,79,15,42
2014,90,125,37,11,45
2015,82,138,47,33,16
2016,105,138,63,58,27
2017,94,129,62,46,42
2018,100,115,74,59,7
2019,98,126,79,64,23
2020,105,106,43,17,36
2021,101,100,23,54,23
2022,104,114,70,33,48
2023,81,122,70,34,7
2024,82,110,76,69,23
2000,97,138,67,66,26
2001,85,140,37,37,49
2002,83,141,74,30,46
2003,102,104,79,57,37
2004,84,128,55,60,38
2005,105,134,40,16,18
2006,107,147,67,37,25
2007,81,103,51,24,22
2008,93,157,68,51,28
2009,87,118,21,32,25
2010,102,148,27,57,49
2011,90,127,31,62,10
2012,91,120,76,34,24
2013,92,133,69,31,12
2014,89,112,54,67,45
2015,82,110,27,56,49
2016,82,128,37,38,24
2017,103,109,58,25,11
2018,98,136,31,23,32
2019,94,141,27,38,13
2020,96,132,60,60,36
2021,83,102,68,64,31
2022,85,140,70,38,44
2023,106,118,77,28,42
2024,86,153,72,57,25
2000,83,131,30,62,48
2001,106,125,69,51,16
2002,85,104,59,56,43
2003,102,114,56,60,38
2004,108,153,65,44,13
2005,87,142,31,68,35
2006,105,134,76,33,27
2007,95,111,61,27,25
2008,87,121,38,19,32
2009,84,112,40,53,15
2010,106,155,41,24,23
2011,86,153,23,32,42
2012,107,103,23,52,28
2013,92,140,28,26,10
2014,97,146,47,31,49
2015,104,155,58,67,11
2016,106,155,69,60,36
2017,83,101,37,48,36
2018,105,128,31,69,16
2019,87,117,76,20,14
2020,82,109,67,47,14
2021,98,102,22,28,15
2022,80,144,24,69,38
2023,80,128,32,60,17
2024,101,157,28,43,13
2000,105,123,44,27,38
2001,94,115,46,16,9
2002,94,116,36,15,23
2003,82,135,24,61,7
2004,103,109,36,23,40
2005,85,115,54,63,5
2006,97,119,37,52,21
2007,89,104,23,32,5
2008,101,132,28,17,43
2009,94,151,76,18,18
2010,108,152,37,55,38
2011,106,117,49,44,7
2012,107,108,67,56,48
2013,84,140,50,61,15
2014,103,117,74,30,34
2015,85,147,26,60,20
2016,90,105,24,25,13
2017,91,115,50,43,14
2018,108,113,79,63,27
2019,90,106,47,14,8
2020,86,120,71,57,43
2021,90,134,31,26,43
2022,102,139,41,46,37
2023,98,136,68,20,38
2024,82,147,48,56,23
2000,86,154,35,58,24
2001,98,157,51,51,31
2002,91,144,28,12,22
2003,101,114,71,58,12
2004,88,111,79,31,27
2005,98,106,47,41,29
2006,80,107,63,46,15
2007,84,100,47,51,37
2008,89,135,43,64,37
2009,83,107,30,33,21
2010,91,146,69,47,47
2011,99,117,42,18,29
2012,100,154,39,33,46
2013,104,118,78,48,9
2014,105,152,39,27,21
2015,80,119,72,61,17
2016,101,153,78,56,7
2017,102,124,73,59,42
2018,89,159,32,67,21
2019,91,144,31,49,30
2020,104,157,58,58,17
2021,94,110,42,56,9
2022,99,138,63,42,19
2023,81,140,40,14,10
2024,80,113,41,32,34
2000,99,155,21,12,36
2001,109,118,43,68,25
2002,109,127,32,66,22
2003,80,141,72,60,16
2004,80,101,21,53,32
2005,93,135,56,56,24
2006,96,130,69,48,39
2007,99,114,25,57,28
2008,95,128,56,66,38
2009,104,146,62,31,6
2010,107,155,68,62,11
2011,109,146,66,20,24
2012,104,143,40,22,17
2013,90,154,59,68,20
2014,91,155,62,19,45
2015,86,129,68,20,35
2016,101,143,59,51,35
2017,105,123,20,52,34
2018,80,149,44,24,30
2019,104,100,66,45,23
2020,95,104,27,31,33
2021,90,105,36,58,40
2022,101,100,23,32,44
2023,104,127,24,23,37
2024,95,144,72,18,11
